Study.ID,rep,study.species,density.data,density.number,measure,facilitation.data,facilitation.measure,facilitation.conclusion,common.name.benefactor,latin.name.benefactor,protégé.taxa,protégé.common.name,protégé.latin.name,richness,diversity,N.sites,n.sites,lat,lng,macrohabitat,mesohabitat,function,hypothesis,notes
5,5.01,"shrub, animal",yes,0.01,shrub/area,no,observation,yes,Blunt-nosed leopard Lizard,Gambilia Sila,animal,Blunt Nosed Leopard Lizard,Gambelia sila,2,2,2,,35.1914,-119.7929,desert,shrub/open,microhabitat,Shrub facilitate lizard,This is the leopard lizard study with Chris and Mike
6,6.01,shrub,yes,10,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.02,shrub,yes,13,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.03,shrub,yes,8,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.04,shrub,yes,9,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.05,shrub,yes,10,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.06,shrub,yes,7,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.07,shrub,yes,3,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
6,6.08,shrub,yes,4,shrubs/m^2,no,observation,yes,Peashrub,Caragana Microphylla,plant,Corispermeae,Agriophyllum squarrosum ,16,2,1,3,43.3,121.3,desert,dunes,recovery,Space-for-time recovery process of desert,Paper takes 8 years and looks at space-for-time measurements to aid in desert recovery. Has a large amount of data for Richness and Diversity
12,12.01,"shrub, grass, weed",yes,5.9,shrubs/m^2,no,observation,yes,Pursh,Atriplex canescens ,grass,Inland Saltgrass,Distichilis spicata ,3,9,2,2,38.8494444,-119.1844444,desert,basin,microhabitat,Irrigation and seeding native grass would facilitate native shrub establishment,Location is the Great Basin
12,12.02,"shrub, grass, weed",yes,12,shrubs/m^2,no,observation,yes,Pursh,Atriplex canescens ,grass,Inland Saltgrass,Distichilis spicata ,3,9,2,2,38.8494444,-119.1844444,desert,basin,microhabitat,Irrigation and seeding native grass would facilitate native shrub establishment,Location is the Great Basin
