Study.ID,Authors,Title,Publication Date,Notes
5,"Westphal, Michael F.; Noble, Taylor; Butterfield, Harry Scott; Lortie, Christopher J.",A test of desert shrub facilitation via radiotelemetric monitoring of a diurnal lizard,Dec-18,Paper does talk about the density of shrubs in the study site and the facilitation
6,"Miao, Renhui; Qiu, Xueli; Guo, Meixia; Musa, Ala; Jiang, Deming",Accuracy of space-for-time substitution for vegetation state prediction following shrub restoration,Apr-18,Shrub density is mentioned but might not be the greatest paper for shrub density and facilitation
12,"Porensky, Lauren M.; Leger, Elizabeth A.; Davison, Jay; Miller, W. Wally; Goergen, Erin M.; Espeland, Erin K.; Carroll-Moore, Erin M.","Arid old-field restoration: Native perennial grasses suppress weeds and erosion, but also suppress native shrubs",14-Feb,Looks both at shrub density and its association with facilitation it seems like a good paper
21,"Burnham, Katharine M.; Lee, Thomas D.","Canopy gaps facilitate establishment, growth, and reproduction of invasive Frangula alnus in a Tsuga canadensis dominated forest",Jun-10,might be a good paper to include. Looks at buckthorn and density with facilitation
22,"Forbes, Adam",Canopy manipulations of exotic Bitter Willow (Salix elaeagnos) forest for indigenous seedling recruitment: A pilot study,Jan-17,Another buckthorn paper with density included and facilitation
26,"Mclaren, Brian E.; Gammond, Peter R.; Thompson, Ian D.",Characteristics of the boreal mixedwood forest associated with the use of subnivean access points by American martens,2013,Directly looks at shrub density in relation with other vegetation species and the relations with them
27,"Hughes, Nicole M.; Johnson, Daniel M.; Akhalkatsi, Maia; Abdaladze, Otar","Characterizing Betula litwinowii Seeding Microsites at the Alpine-Treeline Ecotone, Central Greater Caucasus Mountains, Georgia",Feb-09,Paper does look at shrub density but mainly the juveniles of R. Caucasium
45,"Yoshihara, Yu; Sasaki, Takehiro; Okuro, Toshiya; Undarmaa, Jamsran; Takeuchi, Kazuhiko",Cross-spatial-scale patterns in the facilitative effect of shrubs and potential for restoration of desert steppe,Dec-10,Excellent paper and follows all criteria
48,"Casper, BB","Demographic consequences of drought in the herbaceous perennial Cryptantha flava: Effects of density, associations with shrubs, and plant size",Apr-96,Looks more at a plant species and its relation to shrub and open areas. It mighttttt be good
62,"Lara-Romero, Carlos; Gusman-M, Elizabeth; Ramon, Pablo; Velez-Morac, Diego; Ivan Espinosac, Carlos",Does size matter? Ontogenetic responses of an Andean shrub to conspecific density-dependence,Apr-17,"Petty good paper that looks at shrub size, interactions and density itself. Might be fairly usefull for paper."
66,"Pang, Chun-chiu; Ma, Xoni Kwan-Ki; Hung, Tony Tun-hei; Hau, Billy Chi-hang","Early ecological succession on landslide trails, Hong Kong, China",2018,Looks at restoration with regards to shrub bensity and richness in the study area. More focus on species richness and stem density than shrub population density
78,"Farzam, Mohammad; Ejtehadi, Hamid",Effects of drought and slope aspect on canopy facilitation in a mountainous rangeland,Aug-17,Looks at shrub camopy and a little bit of shrub density but not too much. Does talk about shrub seedling density though
79,"Noumi, Zouhaier",Effects of exotic and endogenous shrubs on understory vegetation and soil nutrients in the south of Tunisia,Aug-15,Pretty good paper looking at various species of shrubs and density is recorded in them
80,"Nottebrock, Henning; Esler, Karen J.; Schurr, Frank M.",Effects of intraspecific and community density on the lifetime fecundity of long-lived shrubs,2013,Looks at the density of various shrub species I africa. There are measurments and values in this pdf. I think it would be an excellent addition
82,"Senfeldr, Martin; Treml, Vaclav; Madera, Petr; Volarik, Daniel","Effects of Prostrate Dwarf Pine on Norway Spruce Clonal Groups in the Treeline Ecotone of the Hruby Jesenik Mountains, Czech Republic",May-14,Looks ate relationship between shrub and tree density in ecosystem and how the shrub density can facilitate the larger growth height of the tree species
83,"Hamilton, Bryan T.; Roeder, Beverly L.; Horner, Margaret A.",Effects of Sagebrush Restoration and Conifer Encroachment on Small Mammal Diversity in Sagebrush Ecosystem,Jan-19,Looks at sage bush restoration and how it will facilitate a larger density of shrub and plants to be experienced. Does have some data for density
88,"Spiegel, Orr; Nathan, Ran",Empirical evaluation of directed dispersal and density-dependent effects across successive recruitment phases,Mar-12,"Looks at density-dependent competition and facilitation with shrub species, both inter and intraspecific"
94,"Angelica Gomez-Ruiz, Pilar; Lindig-Cisneros, Roberto; Vargas-Rios, Orlando","Facilitation among plants: A strategy for the ecological restoration of the high-andean forest (Bogota, DC-Colombia)",Aug-13,Does look at shrub density (medium level) and looks at facilitative interactions. Has data that can be used
