Unique.ID,Author,Title,Category,Publication.Date,Publication.Year,Density.Data,Facilitation.Data,Observations,included
1,"Moseby, K. E.; Lollback, G. W.; Lynch, C. E.","Too much of a good-thing, successful reintroduction leads to overpopulation in a threatened mammal",BIOLOGICAL CONSERVATION,Mar-18,2018,no,no,"looks at density of bettongs, not shrub density and does not have any info on facilitative or positive interactions",no
2,"Morales-Paredes, Carlos; Valdivia, Carlos E.; Orellana, Jose I.",Bird-mediated effect of deforestation on potential seed dispersal does not increase the seed recruitment of Fuchsia magellanica,TREES-STRUCTURE AND FUNCTION,Feb-18,2018,no,no,Has no data on shrub density at all and no data on positive interations or facilitation (Does mention positive interactions though),no
3,"Wheeler, Helen C.; Hoye, Toke T.; Svenning, Jens-Christian",Wildlife species benefitting from a greener Arctic are most sensitive to shrub cover at leading range edges,GLOBAL CHANGE BIOLOGY,Jan-18,2018,no,yes,has data of both positive and negative interactions but does not have any data regarding shrub density,no
4,"Holbrook, Joseph D.; Pilliod, David S.; Arkle, Robert S.; Rachlow, Janet L.; Vierling, Kerri T.; Wiest, Michelle M.","Transition of Vegetation States Positively Affects Harvester Ants in the Great Basin, United States",RANGELAND ECOLOGY & MANAGEMENT,Nov-16,2016,no,no,shrub density data is not present in this paper and no data regarding facilitation either,no
5,"Cosentino, Bradley J.; Schooley, Robert L.; Bestelmeyer, Brandon T.; Kelly, Jeffrey F.; Coffman, John M.",Constraints and time lags for recovery of a keystone species (Dipodomys spectabilis) after landscape restoration,LANDSCAPE ECOLOGY,Apr-14,2014,yes,no,has data on shrub density itself but no data on facilitation or positive interations (even though it is mentioned several times in the paper),maybe
6,"Malo, Aurelio F.; Godsall, Ben; Prebble, Clare; Grange, Zoe; McCandless, Samantha; Taylor, Andrew; Coulson, Tim",Positive effects of an invasive shrub on aggregation and abundance of a native small rodent,BEHAVIORAL ECOLOGY,MAY-JUN 2013,2013,no,no,does not have data on shrub density (has data on tick density) and does not mention facilitation or positive interactions,no
7,"Martinez-Garza, Cristina; Osorio-Beristain, Marcela; Valenzuela-Galvan, David; Nicolas-Medina, Alondra",Intra and inter-annual variation in seed rain in a secondary dry tropical forest excluded from chronic disturbance,FOREST ECOLOGY AND MANAGEMENT,DEC 15 2011,2011,no,no,looks at seed density rather than shrub density and does not entirely look at facilitation or positive interactions,no
8,"Lenda, Magdalena; Skorka, Piotr","Patch occupancy, number of individuals and population density of the Marbled White in a changing agricultural landscape",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,SEP-OCT 2010,2010,yes,no,has a bunch of data on shrubs and shurb density but nothing on facilitation or positive interactions,no
9,"Aragon, Susan; Woodcock, Deborah W.",Plant Community Structure and Conservation of a Northern Peru Sclerophyllous Forest,BIOTROPICA,Mar-10,2010,yes,no,has a bunch of data for density but does not specifically have any data on facilitation or positive interactions (It does talk about it though in a decent amount),maybe
10,"Joshi, Atul Arvind; Mudappa, Divya; Raman, T. R. Shankar","Brewing trouble: coffee invasion in relation to edges and forest structure in tropical rainforest fragments of the Western Ghats, India",BIOLOGICAL INVASIONS,Dec-09,2009,yes,no,has data for shrub density specifically but nothing directly for facilitative or positive interactions,maybe
11,"van Duyne, Caroline; Ras, Erica; de Vos, Anneleen E. W.; de Boer, Willem F.; Henkens, Rene J. H. G.; Usukhjargal, Dorj","Wolf Predation Among Reintroduced Przewalski Horses in Hustai National Park, Mongolia",JOURNAL OF WILDLIFE MANAGEMENT,Aug-09,2009,yes,no,has final density data for some shrub species but has no data on facilitation or positive interactions,maybe
12,"Farris, Emmanuele; Filigheddu, Rossella",Effects of browsing in relation to vegetation cover on common yew (Taxus baccata L.) recruitment in Mediterranean environments,PLANT ECOLOGY,Dec-08,2008,yes,no,paper looks at English Yew Density (not a shrub but a tree) even though it looks at them when they are saplings. Also has no data for facilitation or positive interactions,no
13,"Bas, Josep M.; Pons, Pere; Gomez, Crisanto",Exclusive frugivory and seed dispersal of Rhamnus alaternus in the bird breeding season,PLANT ECOLOGY,Mar-06,2006,no,no,paper looks more at overall seed count rather than species density. No connection to positive interaction of facilitation,no
14,"Cuevas-Reyes, P; Quesada, M; Hanson, P; Dirzo, R; Oyama, K","Diversity of gall-inducing insects in a Mexican tropical dry forest: the importance of plant species richness, life-forms, host plant age and plant density",JOURNAL OF ECOLOGY,Aug-04,2004,yes,no,paper has the density for several plant species (including some shrub species) but does not tie it back to positive interactions or facilitation,no
15,"Verdu, M; Garcia-Fayos, P",Frugivorous birds mediate sex-biased facilitation in a dioecious nurse plant,JOURNAL OF VEGETATION SCIENCE,Feb-03,2003,no,no,"paper does not look at shrub density with facilitation. Looks at ""bulk"" density.",no
16,"Fields, MJ; Coffin, DP; Gosz, JR",Burrowing activities of kangaroo rats and patterns in plant species dominance at a shortgrass steppe-desert grassland ecotone,JOURNAL OF VEGETATION SCIENCE,Feb-99,1999,no,no,paper makes no connection to shrub density and facilitation. Looks at grasses. Not useful,no
17,"Ostfeld, RS; Manson, RH; Canham, CD",Effects of rodents on survival of tree seeds and seedlings invading old fields,ECOLOGY,Jul-97,1997,,,,
