PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	"Hamilton, Bryan T.; Roeder, Beverly L.; Horner, Margaret A."								Effects of Sagebrush Restoration and Conifer Encroachment on Small Mammal Diversity in Sagebrush Ecosystem								RANGELAND ECOLOGY & MANAGEMENT				72	1			13	22		10.1016/j.rama.2018.08.004			Jan-19	2019										0							WOS:000455256100002	
J	"Williams, C. Jason; Pierson, Frederick B.; Kormos, Patrick R.; Al-Hamdan, Osama Z.; Nouwakpo, Sayjro K.; Weitz, Mark A."								"Vegetation, Hydrologic, and Erosion Responses of Sagebrush Steppe 9 Yr Following Mechanical Tree Removal"								RANGELAND ECOLOGY & MANAGEMENT				72	1			47	68		10.1016/j.rama.2018.07.004			Jan-19	2019										1							WOS:000455256100006	
J	"Westphal, Michael F.; Noble, Taylor; Butterfield, Harry Scott; Lortie, Christopher J."								A test of desert shrub facilitation via radiotelemetric monitoring of a diurnal lizard								ECOLOGY AND EVOLUTION				8	23			12153	12162		10.1002/ece3.4673			Dec-18	2018										0							WOS:000454107200066	
J	"Davis, Amy J.; Leland, Bruce; Bodenchuk, Michael; VerCauteren, Kurt C.; Pepin, Kim M."								Costs and effectiveness of damage management of an overabundant species (Sus scrofa) using aerial gunning								WILDLIFE RESEARCH				45	8			696	705		10.1071/WR17170			Dec-18	2018										0							WOS:000453548100005	
J	"Fang, Weiwei; Lu, Nan; Zhang, Yu; Jiao, Lei; Fu, Bojie"								Responses of nighttime sap flow to atmospheric and soil dryness and its potential roles for shrubs on the Loess Plateau of China								JOURNAL OF PLANT ECOLOGY				11	5			717	729		10.1093/jpe/rtx042			Oct-18	2018										0							WOS:000456052800005	
J	"Gusman-M, Elizabeth; de la Cruz, Marcelino; Espinosa, Carlos Ivan; Escudero, Adrian"								Focusing on individual species reveals the specific nature of assembly mechanisms in a tropical dry-forest								PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS				34				94	101		10.1016/j.ppees.2018.07.004			Oct-18	2018										1							WOS:000447005400010	
J	"Piston, Nuria; Michalet, Richard; Schob, Christian; Macek, Petr; Armas, Cristina; Pugnaire, Francisco I."								The balance of canopy and soil effects determines intraspecific differences in foundation species' effects on associated plants								FUNCTIONAL ECOLOGY				32	9			2253	2263		10.1111/1365-2435.13139			Sep-18	2018										0							WOS:000443560300014	
J	"Alcantara, Julio M.; Pulgar, Manuel; Trojelsgaard, Kristian; Garrido, Jose L.; Rey, Pedro J."								Stochastic and deterministic effects on interactions between canopy and recruiting species in forest communities								FUNCTIONAL ECOLOGY				32	9			2264	2274		10.1111/1365-2435.13140			Sep-18	2018										0							WOS:000443560300015	
J	"Hunter, John T."								Complexities of shrub encroachment: are shrubs important for the maintenance of diversity in Themeda-dominated assemblages on coastal headlands in eastern Australia?								JOURNAL OF COASTAL CONSERVATION				22	4			667	677		10.1007/s11852-018-0599-8			Aug-18	2018										0							WOS:000438473600005	
J	"Lu, Rong; Zheng, Jiyong; Jia, Chao; Liu, Yu; Huang, Ze; He, Honghua; Han, Fengpeng; Wu, Gao-Lin"								Nurse effects of patch-canopy microhabitats promote herbs community establishment in sandy land								ECOLOGICAL ENGINEERING				118				126	133		10.1016/j.ecoleng.2018.04.019			AUG 1 2018	2018										0							WOS:000432518800014	
