UniqueID,Authors,Title,Publication Date (Month and Year),Notes,included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Raventos, Jose; Wiegand, Thorsten; Maestre, Fernando T.; de Luis, Martin",A resprouter herb reduces negative density-dependent effects among neighboring seeders after fire,Jan-12,Looks at density-dependence with mortality with mentions of facilitation and density in the discussion of the paper,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
5,"Westphal, Michael F.; Noble, Taylor; Butterfield, Harry Scott; Lortie, Christopher J.",A test of desert shrub facilitation via radiotelemetric monitoring of a diurnal lizard,Dec-18,Paper does talk about the density of shrubs in the study site and the facilitation,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Miao, Renhui; Qiu, Xueli; Guo, Meixia; Musa, Ala; Jiang, Deming",Accuracy of space-for-time substitution for vegetation state prediction following shrub restoration,Apr-18,Shrub density is mentioned but might not be the greatest paper for shrub density and facilitation,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Porensky, Lauren M.; Leger, Elizabeth A.; Davison, Jay; Miller, W. Wally; Goergen, Erin M.; Espeland, Erin K.; Carroll-Moore, Erin M.","Arid old-field restoration: Native perennial grasses suppress weeds and erosion, but also suppress native shrubs",14-Feb,Looks both at shrub density and its association with facilitation it seems like a good paper,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Rodriguez-Buritica, Susana; Miriti, Maria N.","Biting the hand that feeds: the invasive grass Schismus barbatus (Poaceae) is facilitated by, but reduces establishment of, the native shrub Ambrosia dumosa (Asteraceae)",Apr-09,More focused on the density of the invasive grass over the shrub but does talk about the facilitation in this interaction,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Burnham, Katharine M.; Lee, Thomas D.","Canopy gaps facilitate establishment, growth, and reproduction of invasive Frangula alnus in a Tsuga canadensis dominated forest",Jun-10,might be a good paper to include. Looks at buckthorn and density with facilitation,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Forbes, Adam",Canopy manipulations of exotic Bitter Willow (Salix elaeagnos) forest for indigenous seedling recruitment: A pilot study,Jan-17,Another buckthorn paper with density included and facilitation,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Mclaren, Brian E.; Gammond, Peter R.; Thompson, Ian D.",Characteristics of the boreal mixedwood forest associated with the use of subnivean access points by American martens,2013,Directly looks at shrub density in relation with other vegetation species and the relations with them,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Hughes, Nicole M.; Johnson, Daniel M.; Akhalkatsi, Maia; Abdaladze, Otar","Characterizing Betula litwinowii Seeding Microsites at the Alpine-Treeline Ecotone, Central Greater Caucasus Mountains, Georgia",Feb-09,Paper does look at shrub density but mainly the juveniles of R. Caucasium,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Swaffer, Brooke A.; Holland, Kate L.","Comparing ecophysiological traits and evapotranspiration of an invasive exotic, Pinus halepensis in native woodland overlying a karst aquifer",Mar-15,Paper looks at facilitation of water intake with some tree species and of shrub speceis (halepensis) and does look at its density,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Esteso-Martinez, Jordan; Camarero, J. Julio; Gil-Pelegrin, Eustaquio","Competitive effects of herbs on Quercus faginea seedlings inferred from vulnerability curves and spatial-pattern analyses in a Mediterranean stand (Iberian System, northeast Spain)",2006,Paper does look at facilitative interaction between herbs and OAK density but nothing to do with shrubs,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Loayza, Andrea P.; Herrera-Madariaga, Marisol A.; Carvajal, Danny E.; Garcia-Guzman, Patricio; Squeo, Francisco A.",Conspecific plants are better 'nurses' than rocks: consistent results revealing intraspecific facilitation as a process that promotes establishment in a hyper-arid environment,2017,Looks at indirect interactions between rocks and shrubs in study area and if there is an affect on the density,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Yoshihara, Yu; Sasaki, Takehiro; Okuro, Toshiya; Undarmaa, Jamsran; Takeuchi, Kazuhiko",Cross-spatial-scale patterns in the facilitative effect of shrubs and potential for restoration of desert steppe,Dec-10,Excellent paper and follows all criteria,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
